+----------+-------------+------------------+
| Taxi ID  | Total Hours | Total Kilometers |
| 20000653 |   1152.81   |     21536.16     |
| 20000120 |   1152.21   |     17202.41     |
| 20000171 |   1151.80   |     22414.48     |
| 20000351 |   1145.02   |     33903.39     |
| 20000398 |   1144.64   |     17318.38     |
| 20000624 |   1142.23   |     19806.78     |
| 20000010 |   1141.91   |     21342.39     |
| 20000101 |   1138.03   |     17730.63     |
| 20000675 |   1136.97   |     18969.49     |
| 20000031 |   1131.89   |     18460.42     |
| 20000195 |   1128.70   |     19460.7      |
| 20000163 |   1128.50   |     19603.43     |
| 20000450 |   1110.83   |     21060.99     |
| 20000626 |   1106.07   |     21575.2      |
| 20000520 |   1100.65   |     15585.49     |
| 20000625 |   1098.92   |     20073.17     |
| 20000328 |   1096.87   |     21570.31     |
| 20000345 |   1095.18   |     19712.98     |
| 20000089 |   1094.72   |     24214.77     |
| 20000686 |   1092.84   |     18867.9      |
| 20000671 |   1092.16   |     17796.59     |
| 20000363 |   1089.83   |     15742.61     |
| 20000005 |   1089.82   |     20597.63     |
| 20000662 |   1089.50   |     18020.57     |
| 20000561 |   1089.45   |     20755.77     |
| 20000142 |   1087.82   |     13816.9      |
| 20000012 |   1083.46   |     18882.54     |
| 20000658 |   1081.50   |     22388.15     |
| 20000611 |   1077.02   |     16619.34     |
| 20000311 |   1075.88   |     11874.14     |
| 20000406 |   1074.30   |     17078.29     |
| 20000004 |   1071.82   |     13175.39     |
| 20000665 |   1063.24   |     18683.8      |
| 20000256 |   1061.89   |     14532.05     |
| 20000285 |   1056.50   |     15733.15     |
| 20000473 |   1056.25   |     16902.88     |
| 20000273 |   1055.78   |     22246.61     |
| 20000488 |   1055.02   |     15244.36     |
| 20000472 |   1051.89   |     20361.61     |
| 20000324 |   1051.25   |     14522.61     |
| 20000305 |   1049.13   |     18923.89     |
| 20000618 |   1048.90   |     16957.94     |
| 20000560 |   1047.70   |     20057.01     |
| 20000633 |   1047.22   |     18374.0      |
| 20000359 |   1046.45   |     17822.77     |
| 20000216 |   1045.71   |     17498.62     |
| 20000007 |   1042.75   |     18585.85     |
| 20000632 |   1038.72   |     18901.68     |
| 20000600 |   1031.53   |     18156.87     |
| 20000108 |   1030.81   |     16490.37     |
| 20000338 |   1029.23   |     15965.03     |
| 20000333 |   1029.08   |     16241.65     |
| 20000434 |   1026.87   |     18472.41     |
| 20000154 |   1026.62   |     19191.64     |
| 20000081 |   1025.33   |     16104.79     |
| 20000577 |   1017.83   |     19502.1      |
| 20000376 |   1012.60   |     14808.22     |
| 20000057 |   1010.73   |     17102.18     |
| 20000173 |   1009.48   |     19381.23     |
| 20000503 |   1004.36   |     19729.16     |
| 20000207 |   997.91    |     13159.74     |
| 20000067 |   996.91    |     15891.92     |
| 20000013 |   996.52    |     17044.25     |
| 20000360 |   992.84    |     18450.73     |
| 20000517 |   988.24    |     17976.74     |
| 20000060 |   985.82    |     16988.68     |
| 20000015 |   985.10    |     15520.53     |
| 20000612 |   974.88    |     16769.81     |
| 20000077 |   971.21    |     15372.53     |
| 20000569 |   961.41    |     12251.46     |
| 20000640 |   958.63    |     16953.42     |
| 20000668 |   954.65    |     16026.09     |
| 20000153 |   949.53    |     16631.87     |
| 20000308 |   948.77    |     17778.3      |
| 20000649 |   947.40    |     18674.1      |
| 20000502 |   946.15    |     12036.88     |
| 20000074 |   943.55    |     14161.16     |
| 20000672 |   939.85    |     15232.54     |
| 20000341 |   938.63    |     16443.5      |
| 20000157 |   937.83    |     16686.62     |
| 20000423 |   937.65    |     16767.4      |
| 20000252 |   936.25    |     14783.73     |
| 20000197 |   936.03    |     17861.95     |
| 20000105 |   934.38    |     18582.27     |
| 20000361 |   931.13    |     15724.95     |
| 20000245 |   927.83    |     17277.02     |
| 20000476 |   927.20    |     16910.08     |
| 20000356 |   925.00    |     15806.12     |
| 20000591 |   919.87    |     16507.85     |
| 20000518 |   919.48    |     14957.67     |
| 20000269 |   918.51    |     15086.99     |
| 20000664 |   916.71    |     13708.77     |
| 20000589 |   911.50    |     16756.5      |
| 20000514 |   910.70    |     16795.37     |
| 20000680 |   910.40    |     14634.43     |
| 20000525 |   910.20    |     18967.82     |
| 20000684 |   905.19    |     15704.94     |
| 20000008 |   902.45    |     15849.69     |
| 20000595 |   899.91    |     14698.93     |
| 20000598 |   899.01    |     14839.98     |
| 20000391 |   898.99    |     14498.79     |
| 20000058 |   898.68    |     14082.16     |
| 20000188 |   897.10    |     13286.26     |
| 20000506 |   896.71    |     12903.42     |
| 20000166 |   892.04    |     15147.99     |
| 20000480 |   887.75    |     17265.56     |
| 20000657 |   887.13    |     17360.03     |
| 20000224 |   882.96    |     13138.37     |
| 20000541 |   877.08    |     15793.04     |
| 20000431 |   873.40    |     15097.37     |
| 20000902 |   867.20    |     4385.74      |
| 20000310 |   864.08    |     16658.55     |
| 20000066 |   857.96    |     14858.58     |
| 20000651 |   856.86    |     14729.7      |
| 20000041 |   856.52    |     15486.09     |
| 20000051 |   856.01    |     13361.18     |
| 20000482 |   854.37    |     15265.12     |
| 20000100 |   852.47    |     11099.44     |
| 20000419 |   851.97    |     11292.1      |
| 20000343 |   850.38    |     12712.4      |
| 20000167 |   849.32    |     18417.3      |
| 20000242 |   847.93    |     15933.04     |
| 20000901 |   847.12    |     15938.15     |
| 20000206 |   845.76    |     8158.36      |
| 20000085 |   843.23    |     12440.02     |
| 20000268 |   842.30    |     13997.61     |
| 20000601 |   841.63    |     16493.32     |
| 20000075 |   840.82    |     13086.52     |
| 20000054 |   838.96    |     13469.08     |
| 20000137 |   838.92    |     11269.06     |
| 20000112 |   837.60    |     14536.51     |
| 20000254 |   837.55    |     16056.62     |
| 20000271 |   834.44    |     12923.42     |
| 20000036 |   833.19    |     15028.64     |
| 20000588 |   830.09    |     15818.98     |
| 20000303 |   830.05    |     12947.37     |
| 20000497 |   824.72    |     14203.64     |
| 20000387 |   821.20    |     13024.64     |
| 20000039 |   820.26    |     11521.57     |
| 20000187 |   819.71    |     13401.13     |
| 20000114 |   818.11    |     12170.92     |
| 20000381 |   815.75    |     13672.33     |
| 20000160 |   813.84    |     16136.84     |
| 20000451 |   810.65    |     12874.76     |
| 20000389 |   808.19    |     14301.48     |
| 20000370 |   807.76    |     15518.99     |
| 20000020 |   807.62    |     13091.49     |
| 20000687 |   807.27    |     13511.03     |
| 20000454 |   805.19    |     15204.2      |
| 20000596 |   800.43    |     12818.2      |
| 20000344 |   799.46    |     14448.82     |
| 20000430 |   793.90    |     14097.93     |
| 20000161 |   791.74    |     12605.61     |
| 20000409 |   786.71    |     13480.16     |
| 20000184 |   785.14    |     14267.33     |
| 20000332 |   783.70    |     14159.67     |
| 20000288 |   782.43    |     14807.46     |
| 20000309 |   777.76    |     14996.72     |
| 20000280 |   776.92    |     15368.35     |
| 20000562 |   775.74    |     10589.18     |
| 20000429 |   771.27    |     11652.98     |
| 20000571 |   770.78    |     13816.77     |
| 20000594 |   765.95    |     12115.97     |
| 20000463 |   765.55    |     14840.01     |
| 20000663 |   765.34    |     12872.83     |
| 20000002 |   763.29    |     11331.04     |
| 20000400 |   762.43    |     8915.91      |
| 20000215 |   761.25    |     12430.72     |
| 20000576 |   758.38    |     13783.13     |
| 20000229 |   758.30    |     12411.14     |
| 20000022 |   757.31    |     12655.35     |
| 20000674 |   755.20    |     12557.45     |
| 20000481 |   752.52    |     13865.09     |
| 20000554 |   752.50    |     11993.57     |
| 20000014 |   751.22    |     14010.92     |
| 20000440 |   749.12    |     11105.14     |
| 20000138 |   745.54    |     10659.65     |
| 20000548 |   745.49    |     11892.11     |
| 20000507 |   744.28    |     5111.02      |
| 20000349 |   743.21    |     10436.32     |
| 20000453 |   742.37    |     12203.14     |
| 20000321 |   742.33    |     13272.35     |
| 20000570 |   741.68    |     12733.15     |
| 20000260 |   741.01    |     13939.68     |
| 20000467 |   734.89    |     11988.37     |
| 20000393 |   731.40    |     20786.48     |
| 20000196 |   730.65    |     15190.85     |
| 20000421 |   725.36    |     12123.28     |
| 20000465 |   723.45    |     13500.65     |
| 20000496 |   722.88    |     19112.05     |
| 20000113 |   721.10    |     11857.66     |
| 20000186 |   720.86    |      8886.1      |
| 20000092 |   717.56    |     12935.81     |
| 20000001 |   715.41    |     8423.03      |
| 20000388 |   714.68    |     12698.61     |
| 20000192 |   713.63    |     12207.75     |
| 20000516 |   712.11    |     7863.92      |
| 20000255 |   710.95    |     13058.18     |
| 20000123 |   710.21    |     11219.91     |
| 20000524 |   710.03    |     12737.93     |
| 20000247 |   708.33    |     10165.14     |
| 20000667 |   702.42    |     11871.43     |
| 20000549 |   701.05    |     11229.83     |
| 20000334 |   700.00    |     14404.33     |
| 20000250 |   697.76    |     10938.24     |
| 20000527 |   694.02    |     9509.07      |
| 20000608 |   691.27    |     8955.17      |
| 20000267 |   688.92    |     10573.78     |
| 20000261 |   682.25    |     10163.28     |
| 20000392 |   681.20    |     11490.75     |
| 20000151 |   680.87    |     11100.33     |
| 20000513 |   680.07    |     12795.51     |
| 20000243 |   677.53    |     11664.75     |
| 20000534 |   677.15    |     15140.92     |
| 20000546 |   675.92    |     11457.01     |
| 20000380 |   675.46    |     11270.58     |
| 20000565 |   675.44    |     11074.97     |
| 20000030 |   672.80    |     13008.46     |
| 20000021 |   671.84    |     12344.62     |
| 20000384 |   667.54    |     11203.36     |
| 20000172 |   664.80    |     7341.78      |
| 20000178 |   664.56    |     10301.94     |
| 20000326 |   664.45    |     8943.02      |
| 20000386 |   664.43    |     13296.8      |
| 20000156 |   659.38    |     9261.05      |
| 20000083 |   658.35    |     9888.19      |
| 20000038 |   657.91    |     9998.44      |
| 20000189 |   654.45    |     11386.5      |
| 20000597 |   654.30    |     10300.98     |
| 20000605 |   653.33    |     10283.48     |
| 20000426 |   646.58    |     10560.33     |
| 20000509 |   644.35    |     9348.55      |
| 20000119 |   641.73    |     10264.39     |
| 20000331 |   640.30    |     10737.07     |
| 20000044 |   639.58    |     9134.98      |
| 20000201 |   639.24    |     11500.48     |
| 20000697 |   638.25    |     9943.88      |
| 20000515 |   637.33    |     10411.6      |
| 20000046 |   635.94    |     10605.63     |
| 20000619 |   635.42    |     9855.59      |
| 20000572 |   634.98    |     11202.06     |
| 20000314 |   634.91    |     11149.25     |
| 20000251 |   634.15    |     10921.06     |
| 20000329 |   633.08    |      8952.4      |
| 20000383 |   632.10    |     8188.48      |
| 20000158 |   629.43    |     10184.31     |
| 20000470 |   627.41    |     10330.4      |
| 20000086 |   625.39    |     10175.09     |
| 20000109 |   625.37    |     11479.92     |
| 20000602 |   624.28    |     9400.59      |
| 20000032 |   623.43    |     11498.38     |
| 20000053 |   621.50    |     9829.12      |
| 20000279 |   617.44    |     10904.58     |
| 20000681 |   613.26    |     8629.99      |
| 20000174 |   613.05    |     8894.86      |
| 20000508 |   610.04    |     10548.85     |
| 20000159 |   608.22    |     9904.87      |
| 20000460 |   600.59    |     11769.74     |
| 20000610 |   596.93    |     10824.29     |
| 20000347 |   596.90    |     9423.37      |
| 20000900 |   596.28    |     9988.69      |
| 20000050 |   596.11    |     8088.63      |
| 20000146 |   595.63    |      9559.2      |
| 20000500 |   592.75    |     11149.09     |
| 20000095 |   592.62    |     8196.33      |
| 20000131 |   591.51    |     8992.61      |
| 20000410 |   590.32    |     8897.55      |
| 20000353 |   589.14    |     9398.77      |
| 20000539 |   585.00    |     11096.78     |
| 20000118 |   584.41    |     10676.07     |
| 20000006 |   584.18    |     10599.68     |
| 20000352 |   581.09    |     9050.83      |
| 20000327 |   579.88    |     11779.81     |
| 20000578 |   579.05    |     11337.19     |
| 20000068 |   578.82    |     8351.82      |
| 20000494 |   576.50    |     10263.33     |
| 20000258 |   576.18    |     10524.26     |
| 20000107 |   573.70    |     8881.92      |
| 20000452 |   572.63    |     10356.51     |
| 20000104 |   570.17    |     8867.41      |
| 20000346 |   567.76    |     11404.11     |
| 20000177 |   567.07    |     10593.25     |
| 20000226 |   566.60    |     9508.62      |
| 20000084 |   566.23    |     8842.52      |
| 20000296 |   563.26    |     7092.91      |
| 20000099 |   561.13    |     7688.59      |
| 20000111 |   560.32    |     9782.77      |
| 20000623 |   560.10    |     10692.99     |
| 20000272 |   558.35    |     8691.09      |
| 20000198 |   558.33    |     9164.13      |
| 20000604 |   557.25    |     8361.53      |
| 20000148 |   555.78    |      9577.8      |
| 20000682 |   547.46    |     10237.22     |
| 20000128 |   537.77    |     8450.83      |
| 20000281 |   535.90    |     9299.27      |
| 20000045 |   532.34    |     8328.45      |
| 20000230 |   530.88    |     9509.27      |
| 20000023 |   525.56    |     7871.27      |
| 20000342 |   525.48    |     9375.57      |
| 20000048 |   525.18    |     7470.11      |
| 20000213 |   522.06    |     6704.13      |
| 20000144 |   521.42    |     6680.44      |
| 20000217 |   518.51    |     8881.29      |
| 20000557 |   518.13    |     8316.76      |
| 20000408 |   517.99    |     8038.15      |
| 20000027 |   517.03    |     7514.66      |
| 20000523 |   516.85    |     6841.43      |
| 20000432 |   514.18    |      9969.9      |
| 20000126 |   511.42    |      8803.5      |
| 20000504 |   510.35    |     7266.34      |
| 20000448 |   508.86    |      7565.2      |
| 20000698 |   503.39    |     7663.94      |
| 20000222 |   502.42    |     9823.29      |
| 20000017 |   501.23    |     8815.63      |
| 20000603 |   498.84    |     8087.32      |
| 20000495 |   498.63    |     7491.08      |
| 20000076 |   498.03    |     9829.17      |
| 20000669 |   495.77    |     9378.76      |
| 20000190 |   493.93    |     8053.75      |
| 20000257 |   489.84    |     7828.76      |
| 20000024 |   489.67    |     8005.37      |
| 20000377 |   489.20    |     7254.05      |
| 20000903 |   487.88    |     8444.79      |
| 20000464 |   487.03    |     5772.84      |
| 20000362 |   485.84    |     8787.93      |
| 20000477 |   483.51    |     11933.44     |
| 20000073 |   480.05    |     6912.23      |
| 20000543 |   473.42    |     6005.49      |
| 20000049 |   473.19    |     6671.12      |
| 20000499 |   472.58    |     7639.66      |
| 20000040 |   468.37    |     6134.26      |
| 20000693 |   466.59    |     7421.92      |
| 20000330 |   463.55    |     6645.84      |
| 20000094 |   462.61    |     7484.14      |
| 20000484 |   462.13    |     8435.64      |
| 20000458 |   460.45    |      7114.9      |
| 20000373 |   459.22    |     6288.87      |
| 20000295 |   457.78    |     7869.87      |
| 20000676 |   457.52    |     8554.01      |
| 20000246 |   453.24    |     6359.02      |
| 20000289 |   451.69    |     3814.56      |
| 20000468 |   451.48    |     7390.46      |
| 20000294 |   450.09    |     4735.81      |
| 20000037 |   447.40    |      6275.8      |
| 20000606 |   442.10    |     6415.54      |
| 20000026 |   434.24    |      5798.1      |
| 20000180 |   433.38    |     6140.49      |
| 20000319 |   432.35    |     6789.03      |
| 20000620 |   432.22    |      6360.2      |
| 20000080 |   427.49    |     6590.91      |
| 20000456 |   427.27    |     6164.37      |
| 20000231 |   411.33    |      9198.1      |
| 20000286 |   409.85    |     7153.61      |
| 20000047 |   409.40    |     6410.99      |
| 20000547 |   406.20    |     7482.56      |
| 20000055 |   405.94    |     7469.67      |
| 20000695 |   401.30    |     6143.49      |
| 20000685 |   401.23    |     6866.65      |
| 20000121 |   399.85    |     4365.73      |
| 20000487 |   399.08    |     5327.62      |
| 20000340 |   399.03    |     5978.11      |
| 20000152 |   387.66    |     6817.84      |
| 20000634 |   387.16    |     5789.55      |
| 20000093 |   359.06    |     6424.08      |
| 20000065 |   352.13    |     5661.48      |
| 20000521 |   342.09    |     5626.33      |
| 20000615 |   341.35    |     5339.26      |
| 20000098 |   339.60    |     5708.94      |
| 20000443 |   337.81    |     4995.87      |
| 20000670 |   336.53    |     5593.74      |
| 20000397 |   327.07    |     5843.46      |
| 20000692 |   326.05    |     5020.92      |
| 20000018 |   312.63    |     4773.04      |
| 20000315 |   309.48    |     4113.41      |
| 20000003 |   308.08    |     6900.45      |
| 20000510 |   306.86    |     5063.95      |
| 20000407 |   293.96    |     4535.48      |
| 20000586 |   293.80    |     4345.02      |
| 20000545 |   287.30    |     5574.37      |
| 20000071 |   277.45    |     4015.98      |
| 20000535 |   277.30    |     3857.09      |
| 20000579 |   251.68    |     2645.53      |
| 20000225 |   249.11    |     4135.94      |
| 20000312 |   215.19    |     3243.27      |
| 20000449 |   207.03    |     3423.02      |
| 20000072 |   152.81    |     2493.75      |
| 20000185 |   135.89    |     2031.37      |
| 20000609 |   127.52    |     2176.11      |
| 20000248 |    68.19    |     1140.08      |
| 20000585 |    59.47    |     1083.92      |
| 20000079 |    25.09    |      317.58      |
| 20000969 |    3.13     |       0.2        |
| 20000170 |    1.55     |      17.22       |
| 20000941 |    0.35     |       0.11       |
| 20000981 |    0.01     |       0.03       |
| 20000980 |    0.00     |       0.0        |
| 20000940 |    0.00     |       0.0        |
+----------+-------------+------------------+
