   TaxiA    TaxiB
20000057 20000591
20000172 20000541
20000304 20000468
20000094 20000658
20000281 20000484
20000014 20000140
20000036 20000653
20000053 20000068
20000448 20000597
20000508 20000648
20000549 20000649
20000260 20000546
20000547 20000576
20000359 20000525
20000089 20000664
20000161 20000540
20000311 20000484
20000011 20000192
20000177 20000669
20000046 20000186
20000142 20000648
20000216 20000597
20000276 20000648
20000403 20000423
20000389 20000525
20000515 20000664
20000104 20000541
20000074 20000140
20000230 20000653
20000326 20000361
20000435 20000496
20000380 20000597
20000545 20000664
20000171 20000423
20000305 20000423
20000129 20000197
20000640 20000901
20000373 20000557
20000321 20000367
20000051 20000506
20000013 20000022
20000197 20000331
20000071 20000192
20000224 20000434
20000109 20000484
20000014 20000624
20000007 20000207
20000086 20000500
20000540 20000670
20000310 20000393
20000252 20000388
20000403 20000557
20000477 20000506
20000351 20000367
20000504 20000609
20000542 20000901
20000215 20000506
20000669 20000676
20000268 20000332
20000407 20000676
20000388 20000434
20000066 20000383
20000231 20000450
20000330 20000429
20000363 20000377
20000483 20000671
20000055 20000224
20000192 20000495
20000233 20000496
20000285 20000686
20000419 20000686
20000518 20000665
20000243 20000460
20000361 20000681
20000058 20000680
20000099 20000681
20000171 20000557
20000189 20000574
20000051 20000640
20000054 20000157
20000071 20000326
20000397 20000496
20000048 20000342
20000013 20000506
20000049 20000163
20000481 20000574
20000541 20000625
20000140 20000281
20000328 20000517
20000217 20000686
20000258 20000687
20000041 20000460
20000154 20000337
20000596 20000682
20000288 20000337
20000040 20000235
20000131 20000353
20000571 20000625
20000230 20000332
20000309 20000625
20000383 20000574
20000281 20000297
20000684 20000687
20000260 20000359
20000626 20000682
20000075 20000579
20000144 20000184
20000109 20000163
20000239 20000421
20000146 20000230
20000123 20000246
20000177 20000482
20000006 20000600
20000482 20000529
20000077 20000251
20000116 20000179
20000195 20000472
20000329 20000472
20000668 20000692
20000093 20000195
20000004 20000123
20000174 20000534
20000320 20000359
20000380 20000410
20000077 20000601
20000058 20000359
20000021 20000477
20000549 20000596
20000107 20000251
20000359 20000472
20000089 20000611
20000452 20000663
20000015 20000662
20000111 20000370
20000109 20000297
20000224 20000247
20000303 20000540
20000012 20000364
20000280 20000529
20000005 20000324
20000027 20000083
20000579 20000596
20000142 20000595
20000178 20000252
20000482 20000663
20000007 20000370
20000160 20000612
20000119 20000611
20000333 20000540
20000039 20000093
20000118 20000386
20000066 20000196
20000099 20000144
20000195 20000606
20000231 20000263
20000255 20000657
20000060 20000381
20000046 20000483
20000271 20000601
20000436 20000668
20000114 20000617
20000174 20000668
20000243 20000273
20000361 20000494
20000347 20000596
20000435 20000443
20000116 20000663
20000190 20000612
20000250 20000663
20000324 20000612
20000002 20000561
20000497 20000540
20000148 20000386
20000261 20000263
20000326 20000658
20000400 20000607
20000472 20000483
20000243 20000623
20000303 20000674
20000014 20000571
20000011 20000273
20000085 20000222
20000391 20000494
20000451 20000545
20000050 20000201
20000129 20000494
20000222 20000685
20000032 20000561
20000178 20000386
20000007 20000504
20000595 20000674
20000199 20000674
20000273 20000623
20000085 20000572
20000105 20000258
20000179 20000207
20000611 20000618
20000349 20000618
20000483 20000618
20000008 20000325
20000041 20000273
20000046 20000617
20000206 20000340
20000159 20000494
20000233 20000443
20000285 20000633
20000384 20000612
20000131 20000166
20000249 20000387
20000039 20000577
20000042 20000094
20000460 20000607
20000539 20000900
20000041 20000623
20000036 20000279
20000187 20000448
20000288 20000500
20000337 20000392
20000397 20000443
20000053 20000633
20000529 20000562
20000188 20000269
20000506 20000578
20000492 20000680
20000256 20000403
20000054 20000454
20000541 20000572
20000332 20000398
20000392 20000449
20000144 20000347
20000235 20000465
20000254 20000515
20000367 20000392
20000446 20000685
20000083 20000633
20000105 20000392
20000495 20000577
20000195 20000285
20000158 20000403
20000571 20000572
20000249 20000521
20000001 20000419
20000515 20000640
20000548 20000588
20000174 20000347
20000325 20000516
20000154 20000634
20000651 20000686
20000288 20000634
20000213 20000460
20000263 20000577
20000042 20000578
20000128 20000352
20000281 20000594
20000188 20000403
20000353 20000470
20000012 20000177
20000146 20000177
20000578 20000588
20000054 20000588
20000167 20000465
20000681 20000686
20000406 20000481
20000010 20000481
20000065 20000188
20000142 20000408
20000334 20000578
20000119 20000424
20000044 20000250
20000123 20000543
20000118 20000199
20000116 20000126
20000195 20000419
20000360 20000486
20000387 20000589
20000084 20000588
20000120 20000245
20000364 20000605
20000345 20000363
20000114 20000430
20000095 20000188
20000440 20000600
20000077 20000548
20000099 20000307
20000153 20000543
20000419 20000662
20000094 20000902
20000128 20000486
20000338 20000481
20000011 20000086
20000470 20000600
20000129 20000307
20000005 20000271
20000109 20000594
20000546 20000595
20000047 20000682
20000449 20000662
20000086 20000610
20000273 20000436
20000044 20000384
20000011 20000436
20000310 20000503
20000308 20000430
20000060 20000328
20000409 20000482
20000560 20000651
20000285 20000446
20000233 20000256
20000023 20000446
20000576 20000595
20000421 20000492
20000591 20000903
20000154 20000902
20000456 20000678
20000036 20000092
20000074 20000384
20000041 20000436
20000247 20000312
20000243 20000570
20000224 20000328
20000229 20000672
20000303 20000621
20000053 20000446
20000305 20000667
20000451 20000492
20000222 20000632
20000280 20000610
20000395 20000560
20000101 20000113
20000486 20000678
20000071 20000436
20000620 20000678
20000224 20000678
20000257 20000626
20000430 20000554
20000144 20000160
20000595 20000621
20000254 20000328
20000011 20000570
20000372 20000549
20000157 20000395
20000349 20000565
20000423 20000514
20000013 20000616
20000483 20000565
20000252 20000632
20000351 20000611
20000024 20000216
20000499 20000509
20000177 20000458
20000163 20000560
20000084 20000267
20000268 20000576
20000249 20000334
20000254 20000678
20000388 20000678
20000039 20000524
20000460 20000554
20000190 20000693
20000363 20000621
20000325 20000329
20000041 20000570
20000036 20000226
20000187 20000395
20000004 20000688
20000057 20000514
20000020 20000632
20000015 20000288
20000042 20000391
20000455 20000560
20000188 20000216
20000506 20000525
20000017 20000334
20000332 20000345
20000010 20000294
20000144 20000294
20000161 20000463
20000675 20000684
20000446 20000632
20000487 20000633
20000184 20000632
20000146 20000340
20000027 20000648
20000101 20000597
20000008 20000406
20000104 20000114
20000140 20000525
20000249 20000468
20000100 20000345
20000251 20000514
20000077 20000361
20000099 20000120
20000476 20000632
20000517 20000633
20000443 20000684
20000255 20000633
20000057 20000648
20000153 20000356
20000230 20000576
20000304 20000525
20000042 20000525
20000281 20000541
20000014 20000197
20000107 20000361
20000260 20000603
20000005 20000084
20000032 20000187
20000161 20000597
20000109 20000407
20000235 20000546
20000334 20000525
20000026 20000372
20000239 20000665
20000311 20000541
20000352 20000542
20000118 20000146
20000120 20000192
20000271 20000361
20000001 20000500
20000076 20000085
20000215 20000429
20000003 20000546
20000077 20000495
20000190 20000372
20000324 20000372
20000516 20000542
20000074 20000197
20000041 20000249
20000303 20000434
20000058 20000603
20000094 20000260
20000113 20000310
20000129 20000254
20000321 20000424
20000010 20000562
20000037 20000665
20000092 20000372
20000109 20000541
20000071 20000249
20000197 20000388
20000009 20000337
20000353 20000901
20000014 20000681
20000026 20000506
20000086 20000557
20000199 20000434
20000352 20000676
20000333 20000434
20000085 20000332
20000310 20000450
20000184 20000311
20000327 20000619
20000409 20000429
20000008 20000085
20000065 20000619
20000013 20000429
20000178 20000496
20000560 20000598
20000159 20000254
20000351 20000424
20000177 20000271
20000201 20000665
20000328 20000440
20000440 20000681
20000001 20000045
20000080 20000338
20000190 20000506
20000217 20000609
20000464 20000486
20000189 20000281
20000154 20000260
20000340 20000450
20000381 20000451
20000458 20000671
20000057 20000327
20000243 20000517
20000129 20000388
20000051 20000697
20000395 20000507
20000032 20000455
20000486 20000625
20000434 20000435
20000071 20000383
20000546 20000676
20000224 20000625
20000370 20000450
20000108 20000450
20000161 20000276
20000273 20000517
20000663 20000672
20000011 20000517
20000372 20000496
20000465 20000687
20000198 20000343
20000146 20000153
20000101 20000410
20000173 20000286
20000140 20000338
20000081 20000697
20000576 20000676
20000254 20000625
20000328 20000574
20000388 20000625
20000066 20000574
20000367 20000502
20000157 20000692
20000100 20000158
20000138 20000450
20000330 20000620
20000041 20000517
20000077 20000174
20000255 20000446
20000093 20000118
20000304 20000338
20000015 20000235
20000042 20000338
20000548 20000698
20000286 20000698
20000432 20000523
20000031 20000179
20000256 20000297
20000448 20000467
20000434 20000569
20000107 20000174
20000450 20000513
20000045 20000235
20000578 20000698
20000013 20000697
20000503 20000524
20000140 20000472
20000406 20000591
20000024 20000297
20000144 20000591
20000276 20000518
20000482 20000586
20000468 20000688
20000022 20000601
20000003 20000359
20000077 20000308
20000329 20000529
20000230 20000523
20000304 20000472
20000345 20000473
20000271 20000524
20000001 20000663
20000042 20000472
20000436 20000591
20000570 20000591
20000207 20000539
20000473 20000658
20000421 20000468
20000036 20000657
20000151 20000607
20000448 20000601
20000107 20000308
20000186 20000601
20000359 20000529
20000051 20000376
20000092 20000185
20000565 20000597
20000128 20000596
20000625 20000648
20000224 20000304
20000014 20000494
20000334 20000472
20000026 20000319
20000012 20000421
20000007 20000077
20000108 20000129
20000146 20000421
20000049 20000488
20000503 20000658
20000140 20000606
20000327 20000432
20000005 20000381
20000065 20000432
20000389 20000529
20000160 20000669
20000163 20000186
20000254 20000304
20000440 20000494
20000393 20000648
20000195 20000663
20000269 20000612
20000632 20000664
20000002 20000268
20000308 20000540
20000093 20000386
20000079 20000488
20000686 20000900
20000271 20000658
20000345 20000607
20000307 20000315
20000114 20000674
20000196 20000484
20000435 20000500
20000094 20000207
20000245 20000376
20000126 20000684
20000074 20000494
20000497 20000597
20000129 20000201
20000662 20000664
20000373 20000561
20000400 20000664
20000472 20000540
20000513 20000541
20000026 20000453
20000108 20000263
20000540 20000674
20000199 20000381
20000273 20000330
20000314 20000331
20000465 20000500
20000050 20000258
20000197 20000685
20000140 20000151
20000331 20000685
20000279 20000495
20000403 20000561
20000007 20000561
20000076 20000166
20000430 20000664
20000163 20000320
20000273 20000680
20000328 20000387
20000407 20000680
20000011 20000680
20000118 20000577
20000484 20000900
20000520 20000557
20000231 20000454
20000611 20000675
20000308 20000674
20000423 20000624
20000483 20000675
20000233 20000500
20000307 20000449
20000384 20000669
20000076 20000516
20000196 20000618
20000435 20000634
20000039 20000634
20000094 20000341
20000042 20000151
20000460 20000664
20000171 20000561
20000041 20000680
20000189 20000578
20000514 20000900
20000476 20000608
20000362 20000506
20000073 20000403
20000486 20000572
20000112 20000331
20000263 20000500
20000337 20000449
20000015 20000398
20000397 20000500
20000502 20000516
20000488 20000618
20000188 20000326
20000314 20000465
20000226 20000618
20000465 20000634
20000256 20000460
20000013 20000510
20000140 20000285
20000601 20000680
20000177 20000352
20000163 20000454
20000617 20000624
20000142 20000331
20000594 20000640
20000008 20000516
20000077 20000121
20000104 20000224
20000154 20000341
20000233 20000634
20000121 20000393
20000255 20000393
20000360 20000409
20000271 20000337
20000042 20000285
20000036 20000470
20000058 20000229
20000624 20000640
20000343 20000398
20000040 20000589
20000021 20000347
20000434 20000516
20000626 20000686
20000263 20000634
20000281 20000651
20000031 20000476
20000140 20000419
20000332 20000589
20000142 20000465
20000331 20000364
20000047 20000605
20000081 20000189
20000160 20000482
20000022 20000548
20000044 20000307
20000118 20000256
20000310 20000426
20000255 20000527
20000024 20000594
20000093 20000199
20000158 20000594
20000560 20000574
20000100 20000589
20000229 20000245
20000320 20000363
20000361 20000364
20000440 20000657
20000324 20000482
20000002 20000431
20000126 20000497
20000074 20000307
20000225 20000476
20000340 20000426
20000452 20000667
20000032 20000081
20000450 20000594
20000188 20000594
20000224 20000251
20000229 20000595
20000031 20000610
20000352 20000436
20000085 20000092
20000050 20000071
20000129 20000364
20000005 20000328
20000032 20000431
20000144 20000672
20000092 20000482
20000178 20000256
20000279 20000308
20000523 20000668
20000160 20000616
20000086 20000667
20000393 20000595
20000577 20000904
20000140 20000903
20000258 20000370
20000308 20000487
20000046 20000487
20000120 20000436
20000574 20000606
20000285 20000503
20000159 20000364
20000634 20000657
20000271 20000605
20000023 20000503
20000114 20000621
20000136 20000380
20000388 20000601
20000094 20000154
20000460 20000477
20000138 20000426
20000250 20000667
20000272 20000426
20000189 20000391
20000588 20000662
20000192 20000662
20000400 20000611
20000004 20000611
20000431 20000678
20000042 20000903
20000356 20000504
20000053 20000503
20000089 20000160
20000166 20000380
20000256 20000273
20000280 20000667
20000321 20000668
20000395 20000617
20000092 20000616
20000197 20000632
20000007 20000508
20000048 20000509
20000113 20000904
20000108 20000560
20000199 20000678
20000295 20000386
20000085 20000576
20000066 20000334
20000372 20000606
20000289 20000571
20000330 20000380
20000008 20000329
20000046 20000621
20000398 20000514
20000351 20000668
20000136 20000514
20000196 20000565
20000249 20000391
20000328 20000684
20000066 20000684
20000460 20000611
20000539 20000904
20000138 20000560
20000021 20000160
20000453 20000571
20000057 20000571
20000554 20000623
20000015 20000345
20000089 20000294
20000455 20000617
20000166 20000514
20000128 20000222
20000492 20000684
20000129 20000632
20000049 20000114
20000481 20000525
20000144 20000351
20000295 20000520
20000045 20000345
20000119 20000294
20000067 20000104
20000179 20000345
20000008 20000463
20000044 20000120
20000195 20000289
20000076 20000597
20000177 20000649
20000172 20000305
20000174 20000351
20000325 20000520
20000072 20000074
20000250 20000346
20000626 20000633
20000230 20000633
20000051 20000136
20000111 20000187
20000128 20000356
20000188 20000407
20000014 20000254
20000380 20000577
20000031 20000423
20000017 20000525
20000256 20000541
20000343 20000695
20000338 20000351
20000129 20000177
20000007 20000187
20000081 20000136
20000311 20000598
20000085 20000255
20000327 20000542
20000065 20000542
20000120 20000249
20000268 20000901
20000159 20000177
20000312 20000419
20000345 20000367
20000114 20000434
20000190 20000429
20000324 20000429
20000456 20000548
20000031 20000557
20000015 20000024
20000030 20000332
20000222 20000502
20000129 20000311
20000280 20000480
20000321 20000481
20000395 20000430
20000051 20000620
20000054 20000137
20000092 20000429
20000486 20000548
20000109 20000598
20000224 20000548
20000012 20000665
20000521 20000542
20000273 20000440
20000393 20000542
20000085 20000389
20000372 20000419
20000327 20000676
20000005 20000625
20000349 20000435
20000409 20000486
20000008 20000142
20000500 20000604
20000007 20000671
20000384 20000429
20000136 20000327
20000254 20000548
20000328 20000497
20000388 20000548
20000118 20000687
20000456 20000682
20000041 20000440
20000137 20000148
20000495 20000610
20000381 20000508
20000431 20000625
20000229 20000676
20000020 20000502
20000089 20000107
20000094 20000451
20000507 20000620
20000548 20000621
20000171 20000671
20000319 20000569
20000305 20000671
20000410 20000687
20000492 20000497
20000054 20000271
20000486 20000682
20000434 20000492
20000071 20000440
20000199 20000625
20000295 20000333
20000011 20000574
20000446 20000502
20000487 20000503
20000045 20000158
20000578 20000621
20000289 20000518
20000349 20000569
20000481 20000688
20000123 20000226
20000178 20000687
20000089 20000367
20000351 20000615
20000499 20000513
20000309 20000389
20000902 20000903
20000100 20000215
20000325 20000333
20000041 20000574
20000156 20000524
20000668 20000672
20000040 20000349
20000021 20000107
20000057 20000518
20000480 20000621
20000554 20000570
20000131 20000467
20000230 20000446
20000304 20000395
20000037 20000051
20000042 20000395
20000506 20000529
20000242 20000456
20000343 20000508
20000448 20000524
20000434 20000626
20000260 20000473
20000089 20000591
20000450 20000570
20000161 20000467
20000675 20000688
20000009 20000073
20000334 20000395
20000146 20000344
20000297 20000513
20000338 20000514
20000101 20000601
20000044 20000067
20000104 20000118
20000406 20000648
20000098 20000303
20000177 20000596
20000023 20000129
20000100 20000349
20000022 20000658
20000494 20000653
20000192 20000288
20000051 20000083
20000042 20000529
20000436 20000648
20000570 20000648
20000031 20000370
20000454 20000473
20000421 20000525
20000448 20000658
20000126 20000607
20000010 20000432
20000092 20000242
20000026 20000376
20000081 20000083
20000160 20000376
20000108 20000186
20000600 20000648
20000199 20000304
20000352 20000546
20000338 20000648
20000083 20000129
20000310 20000320
20000235 20000900
20000403 20000484
20000389 20000586
20000114 20000381
20000067 20000535
20000136 20000140
20000076 20000089
20000163 20000243
20000118 20000500
20000002 20000325
20000120 20000546
20000648 20000665
20000018 20000269
20000361 20000608
20000435 20000557
20000020 20000315
20000261 20000377
20000373 20000618
20000340 20000670
20000032 20000325
20000111 20000618
20000224 20000495
20000014 20000685
20000337 20000372
20000012 20000612
20000523 20000562
20000108 20000320
20000273 20000387
20000314 20000388
20000352 20000680
20000011 20000387
20000429 20000900
20000470 20000901
20000391 20000608
20000465 20000557
20000129 20000608
20000005 20000572
20000032 20000675
20000467 20000603
20000178 20000500
20000067 20000669
20000163 20000377
20000268 20000393
20000254 20000495
20000085 20000686
20000367 20000372
20000138 20000320
20000344 20000388
20000041 20000387
20000120 20000680
20000495 20000557
20000206 20000454
20000634 20000901
20000233 20000557
20000307 20000506
20000381 20000455
20000398 20000624
20000057 20000331
20000136 20000624
20000038 20000089
20000356 20000398
20000015 20000105
20000608 20000619
20000171 20000618
20000148 20000634
20000664 20000901
20000397 20000557
20000015 20000455
20000075 20000506
20000562 20000624
20000386 20000398
20000372 20000500
20000012 20000157
20000256 20000517
20000123 20000173
20000541 20000686
20000268 20000527
20000328 20000578
20000080 20000476
20000066 20000578
20000105 20000506
20000137 20000229
20000173 20000640
20000307 20000640
20000255 20000450
20000381 20000589
20000153 20000173
20000230 20000393
20000309 20000686
20000207 20000409
20000036 20000527
20000624 20000697
20000337 20000640
20000015 20000589
20000010 20000245
20000075 20000640
20000009 20000020
20000113 20000343
20000256 20000651
20000123 20000307
20000429 20000579
20000140 20000476
20000695 20000698
20000144 20000595
20000178 20000179
20000047 20000662
20000023 20000076
20000367 20000640
20000045 20000589
20000044 20000364
20000360 20000600
20000308 20000410
20000024 20000651
20000041 20000066
20000285 20000426
20000345 20000477
20000570 20000595
20000361 20000421
20000347 20000523
20000473 20000662
20000151 20000611
20000171 20000297
20000324 20000539
20000126 20000554
20000074 20000364
20000340 20000483
20000224 20000308
20000009 20000154
20000315 20000426
20000031 20000667
20000113 20000477
20000338 20000595
20000129 20000421
20000294 20000488
20000027 20000144
20000620 20000658
20000009 20000504
20000370 20000483
20000403 20000431
20000081 20000380
20000007 20000431
20000039 20000154
20000083 20000426
20000632 20000668
20000195 20000667
20000217 20000426
20000231 20000324
20000055 20000098
20000285 20000560
20000159 20000421
20000345 20000611
20000023 20000560
20000018 20000216
20000384 20000539
20000518 20000539
20000248 20000678
20000388 20000658
20000039 20000504
20000421 20000606
20000171 20000431
20000245 20000380
20000272 20000483
20000036 20000206
20000602 20000617
20000247 20000426
20000340 20000617
20000004 20000668
20000021 20000083
20000513 20000545
20000320 20000904
20000356 20000561
20000053 20000560
20000048 20000216
20000113 20000611
20000492 20000607
20000013 20000380
20000054 20000381
20000370 20000617
20000504 20000617
20000669 20000684
20000273 20000684
20000142 20000201
20000011 20000684
20000085 20000633
20000386 20000561
20000080 20000289
20000006 20000340
20000520 20000561
20000119 20000217
20000446 20000612
20000308 20000678
20000101 20000577
20000008 20000386
20000173 20000453
20000307 20000453
20000398 20000571
20000346 20000381
20000076 20000520
20000136 20000571
20000098 20000279
20000158 20000330
20000309 20000499
20000152 20000515
20000138 20000617
20000286 20000515
20000325 20000443
20000017 20000098
20000514 20000904
20000476 20000612
20000288 20000561
20000021 20000217
20000554 20000680
20000263 20000504
20000089 20000351
20000075 20000453
20000589 20000674
20000188 20000330
20000239 20000295
20000167 20000392
20000279 20000633
20000161 20000577
20000295 20000577
20000119 20000351
20000100 20000109
20000105 20000453
20000067 20000161
20000146 20000454
20000084 20000515
20000158 20000464
20000271 20000341
20000309 20000633
20000058 20000233
20000154 20000695
20000250 20000403
20000288 20000695
20000021 20000351
20000126 20000367
20000074 20000177
20000014 20000311
20000031 20000480
20000380 20000634
20000026 20000136
20000030 20000255
20000068 20000547
20000011 20000013
20000470 20000527
20000406 20000542
20000005 20000198
20000144 20000542
20000012 20000588
20000160 20000486
20000542 20000588
20000116 20000187
20000157 20000188
20000083 20000239
20000310 20000430
20000360 20000547
20000060 20000255
20000500 20000527
20000560 20000578
20000285 20000373
20000345 20000424
20000403 20000594
20000095 20000249
20000174 20000542
20000190 20000486
20000324 20000486
20000002 20000435
20000148 20000260
20000051 20000327
20000004 20000481
20000315 20000373
20000053 20000373
20000166 20000250
20000410 20000610
20000294 20000435
20000242 20000245
20000005 20000332
20000486 20000605
20000205 20000363
20000160 20000620
20000108 20000430
20000333 20000548
20000006 20000153
20000372 20000476
20000231 20000271
20000217 20000373
20000409 20000543
20000483 20000492
20000008 20000199
20000574 20000610
20000216 20000902
20000653 20000903
20000361 20000502
20000039 20000451
20000388 20000605
20000099 20000502
20000231 20000621
20000261 20000271
20000381 20000565
20000038 20000199
20000604 20000610
20000421 20000903
20000455 20000487
20000166 20000384
20000281 20000334
20000226 20000435
20000267 20000436
20000432 20000503
20000294 20000569
20000395 20000621
20000032 20000569
20000068 20000226
20000054 20000328
20000467 20000497
20000434 20000549
20000279 20000446
20000048 20000513
20000142 20000148
20000314 20000632
20000372 20000610
20000451 20000903
20000045 20000215
20000179 20000215
20000611 20000626
20000349 20000626
20000101 20000524
20000351 20000672
20000249 20000395
20000328 20000688
20000309 20000446
20000066 20000688
20000367 20000616
20000344 20000632
20000517 20000560
20000154 20000508
20000038 20000333
20000037 20000108
20000455 20000621
20000529 20000570
20000589 20000621
20000492 20000688
20000343 20000565
20000005 20000011
20000089 20000648
20000109 20000334
20000297 20000570
20000101 20000658
20000387 20000463
20000172 20000309
20000271 20000288
20000515 20000648
20000325 20000524
20000426 20000576
20000040 20000540
20000131 20000658
20000192 20000345
20000051 20000140
20000037 20000242
20000042 20000586
20000207 20000653
20000281 20000602
20000303 20000361
20000017 20000529
20000245 20000356
20000021 20000648
20000260 20000664
20000373 20000541
20000111 20000541
20000472 20000520
20000081 20000140
20000067 20000242
20000146 20000535
20000086 20000484
20000108 20000243
20000199 20000361
20000273 20000310
20000011 20000310
20000327 20000546
20000387 20000597
20000008 20000012
20000178 20000423
20000023 20000320
20000403 20000541
20000136 20000197
20000328 20000367
20000440 20000608
20000020 20000022
20000138 20000243
20000231 20000434
20000093 20000500
20000041 20000310
20000120 20000603
20000419 20000670
20000023 20000670
20000431 20000495
20000518 20000649
20000229 20000546
20000320 20000664
20000361 20000665
20000342 20000423
20000053 20000320
20000099 20000665
20000020 20000372
20000166 20000197
20000305 20000541
20000074 20000608
20000153 20000901
20000129 20000315
20000261 20000434
20000051 20000624
20000073 20000383
20000009 20000398
20000053 20000670
20000199 20000495
20000030 20000686
20000372 20000423
20000083 20000320
20000129 20000665
20000327 20000680
20000142 20000900
20000173 20000213
20000403 20000675
20000477 20000624
20000177 20000332
20000576 20000603
20000039 20000398
20000006 20000450
20000520 20000671
20000083 20000670
20000138 20000377
20000251 20000254
20000330 20000547
20000060 20000686
20000377 20000393
20000464 20000547
20000077 20000101
20000154 20000321
20000159 20000665
20000288 20000321
20000398 20000681
20000057 20000388
20000131 20000337
20000038 20000146
20000356 20000455
20000342 20000557
20000347 20000901
20000089 20000111
20000548 20000625
20000166 20000331
20000171 20000675
20000608 20000676
20000267 20000383
20000245 20000624
20000242 20000326
20000321 20000619
20000362 20000620
20000021 20000327
20000486 20000686
20000434 20000496
20000224 20000686
20000562 20000681
20000235 20000286
20000372 20000557
20000487 20000507
20000184 20000506
20000242 20000676
20000022 20000178
20000123 20000230
20000392 20000620
20000254 20000686
20000152 20000409
20000325 20000337
20000077 20000235
20000116 20000163
20000195 20000456
20000668 20000676
20000040 20000353
20000494 20000523
20000554 20000574
20000020 20000640
20000004 20000107
20000167 20000286
20000359 20000456
20000450 20000574
20000510 20000625
20000109 20000281
20000188 20000574
20000009 20000077
20000050 20000640
20000239 20000539
20000011 20000123
20000327 20000359
20000005 20000308
20000364 20000426
20000542 20000698
20000215 20000303
20000022 20000662
20000044 20000421
20000104 20000472
20000360 20000657
20000041 20000123
20000153 20000364
20000285 20000483
20000345 20000534
20000419 20000483
20000023 20000483
20000114 20000601
20000229 20000359
20000303 20000308
20000586 20000596
20000572 20000698
20000324 20000596
20000074 20000421
20000497 20000524
20000514 20000693
20000400 20000591
20000012 20000482
20000199 20000308
20000424 20000426
20000577 20000668
20000013 20000303
20000197 20000612
20000235 20000904
20000178 20000370
20000257 20000663
20000009 20000561
20000136 20000144
20000201 20000539
20000595 20000658
20000333 20000658
20000116 20000431
20000231 20000381
20000310 20000674
20000217 20000483
20000308 20000601
20000409 20000653
20000483 20000602
20000648 20000669
20000192 20000426
20000136 20000494
20000435 20000561
20000421 20000663
20000137 20000904
20000460 20000591
20000534 20000540
20000185 20000386
20000410 20000504
20000516 20000900
20000036 20000263
20000602 20000674
20000021 20000140
20000472 20000601
20000513 20000602
20000186 20000207
20000075 20000376
20000488 20000545
20000166 20000494
20000589 20000597
20000030 20000633
20000391 20000612
20000451 20000663
20000050 20000319
20000129 20000612
20000525 20000612
20000005 20000576
20000008 20000093
20000467 20000607
20000178 20000504
20000252 20000453
20000370 20000674
20000081 20000571
20000504 20000674
20000177 20000279
20000543 20000602
20000268 20000397
20000066 20000448
20000520 20000618
20000105 20000376
20000217 20000617
20000184 20000669
20000022 20000341
20000120 20000684
20000154 20000268
20000233 20000561
20000076 20000577
20000039 20000695
20000138 20000674
20000608 20000623
20000286 20000572
20000207 20000279
20000325 20000500
20000031 20000053
20000040 20000516
20000434 20000443
20000263 20000561
20000075 20000510
20000111 20000167
20000663 20000680
20000188 20000387
20000281 20000578
20000267 20000680
20000376 20000623
20000406 20000465
20000617 20000685
20000658 20000686
20000295 20000634
