+----------+----------+-----------+
|  taxiId  | callType | callCount |
| 20000576 |    B     |   2150    |
| 20000577 |    B     |   2382    |
| 20000578 |    B     |   1740    |
| 20000579 |    B     |    413    |
| 20000585 |    B     |    154    |
| 20000586 |    B     |    794    |
| 20000588 |    B     |   2016    |
| 20000589 |    B     |   2879    |
| 20000591 |    B     |   2171    |
| 20000594 |    B     |   2063    |
| 20000595 |    B     |   1953    |
| 20000596 |    B     |   1883    |
| 20000597 |    B     |   1526    |
| 20000598 |    C     |   1721    |
| 20000600 |    B     |   2650    |
| 20000601 |    C     |   3141    |
| 20000602 |    A     |   1090    |
| 20000603 |    B     |   1251    |
| 20000604 |    B     |   1708    |
| 20000605 |    B     |   1646    |
| 20000606 |    B     |   1374    |
| 20000607 |    C     |   2043    |
| 20000608 |    B     |   1483    |
| 20000609 |    B     |    254    |
| 20000610 |    C     |   1646    |
| 20000611 |    B     |   2890    |
| 20000612 |    B     |   2955    |
| 20000615 |    B     |    984    |
| 20000616 |    C     |   3783    |
| 20000617 |    B     |   2897    |
| 20000618 |    B     |   2774    |
| 20000619 |    B     |   1538    |
| 20000620 |    C     |    998    |
| 20000621 |    B     |   3350    |
| 20000623 |    B     |   1543    |
| 20000624 |    B     |   3627    |
| 20000625 |    B     |   2933    |
| 20000626 |    B     |   3204    |
| 20000632 |    B     |   2947    |
| 20000633 |    B     |   3200    |
| 20000634 |    C     |    564    |
| 20000640 |    B     |   3034    |
| 20000648 |    B     |   3189    |
| 20000649 |    B     |   2402    |
| 20000651 |    C     |   1583    |
| 20000653 |    B     |   2898    |
| 20000657 |    C     |   1680    |
| 20000658 |    C     |   2411    |
| 20000662 |    B     |   2927    |
| 20000663 |    B     |   2410    |
| 20000664 |    C     |   1827    |
| 20000665 |    C     |   3489    |
| 20000667 |    B     |   2299    |
| 20000668 |    C     |   1817    |
| 20000669 |    B     |   1597    |
| 20000670 |    C     |   1394    |
| 20000671 |    B     |   2721    |
| 20000672 |    B     |   2066    |
| 20000674 |    B     |   2060    |
| 20000675 |    C     |   2627    |
| 20000676 |    B     |   1449    |
| 20000678 |    B     |   3108    |
| 20000680 |    B     |   2889    |
| 20000681 |    B     |   1341    |
| 20000682 |    B     |   1638    |
| 20000684 |    C     |   2466    |
| 20000685 |    B     |   1107    |
| 20000686 |    B     |   3822    |
| 20000687 |    B     |   1927    |
| 20000688 |    C     |   2531    |
| 20000692 |    C     |    644    |
| 20000693 |    C     |   1021    |
| 20000695 |    B     |    835    |
| 20000697 |    B     |   1907    |
| 20000698 |    B     |   1428    |
| 20000900 |    B     |   2021    |
| 20000901 |    C     |   1712    |
| 20000902 |    B     |    413    |
| 20000903 |    B     |   1044    |
| 20000904 |    C     |   3041    |
| 20000911 |    C     |     2     |
| 20000931 |    A     |     1     |
| 20000940 |    A     |     1     |
| 20000941 |    A     |     9     |
| 20000969 |    C     |    61     |
| 20000970 |    C     |     1     |
| 20000980 |    C     |     5     |
| 20000981 |    C     |    19     |
+----------+----------+-----------+
